image,width,height,method,psnr,time_idct_ms,time_total_ms,time_dct_ms,time_upsample_ms
1.png,768,512,baseline,31.61238180763755,142.75670051574707,492.33365058898926,277.6477336883545,0.0
1.png,768,512,vectorized,31.61238180763755,124.77779388427734,463.35721015930176,278.4876823425293,1.0416507720947266
1.png,768,512,direct,31.61238180763755,122.75552749633789,485.8386516571045,297.4894046783447,1.0597705841064453
1.png,768,512,separable,31.61238180763755,9856.547355651855,10213.790655136108,297.2216606140137,0.0
1.png,768,512,lut,31.61238180763755,41589.35475349426,41945.266246795654,293.62010955810547,1.5065670013427734
1.png,768,512,fft,28.468197479252666,862.565279006958,1227.5164127349854,298.2814311981201,0.0
1.png,768,512,aan,28.06758438422277,134.5231533050537,491.7294979095459,295.6690788269043,0.0
10.png,512,768,baseline,35.15868401661326,130.42092323303223,480.35502433776855,285.1235866546631,0.0
10.png,512,768,vectorized,35.15868401661326,104.4001579284668,389.2407417297363,217.55027770996094,0.0
10.png,512,768,direct,35.15868401661326,115.36812782287598,427.9482364654541,255.62620162963867,0.0
10.png,512,768,separable,35.15868401661326,9658.487319946289,9948.100328445435,228.17468643188477,0.0
10.png,512,768,lut,35.15868401661326,40504.929304122925,40801.75852775574,223.39820861816406,3.5228729248046875
10.png,512,768,fft,30.43896819484943,1124.1545677185059,1484.1830730438232,278.454065322876,2.5115013122558594
10.png,512,768,aan,28.07318284431647,201.33185386657715,553.7886619567871,270.796537399292,2.005338668823242
11.png,768,512,baseline,33.30867698475468,146.63314819335938,505.7811737060547,290.70234298706055,2.0062923431396484
11.png,768,512,vectorized,33.30867698475468,154.62756156921387,546.4146137237549,325.1166343688965,2.5780200958251953
11.png,768,512,direct,33.30867698475468,116.99223518371582,478.75499725341797,291.8062210083008,2.0062923431396484
11.png,768,512,separable,33.30867698475468,10136.29150390625,10462.976932525635,260.6232166290283,3.0584335327148438
11.png,768,512,lut,33.30867698475468,38488.67964744568,38819.88787651062,266.9351100921631,1.0035037994384766
11.png,768,512,fft,29.43911898923481,920.9160804748535,1259.7157955169678,275.10905265808105,2.027273178100586
11.png,768,512,aan,28.175998267607937,207.49759674072266,588.3345603942871,306.20813369750977,3.021717071533203
12.png,768,512,baseline,35.30016247157838,142.51136779785156,555.5813312530518,337.1553421020508,1.0700225830078125
12.png,768,512,vectorized,35.30016247157838,155.9898853302002,653.7630558013916,431.70809745788574,2.630949020385742
12.png,768,512,direct,35.30016247157838,166.88799858093262,682.9054355621338,434.3888759613037,3.4940242767333984
12.png,768,512,separable,35.30016247157838,10638.67473602295,11143.33987236023,433.3834648132324,1.0790824890136719
