image,width,height,downsample_method,upsample_method,entropy_method,psnr,original_bytes,compressed_bytes,compression_ratio,bpp,time_downsample_ms,time_upsample_ms,time_encoding_ms,total_time_ms
1.png,768,512,baseline,baseline,baseline,31.61238180763755,1179648,157664.625,7.482008091542411,3.2076950073242188,13.831377029418945,4.476070404052734,649.2259502410889,1047.5809574127197
1.png,768,512,nearest,baseline,baseline,31.573236248663616,1179648,157789.625,7.476080889348713,3.2102381388346353,0.0,16.76201820373535,593.3341979980469,941.439151763916
1.png,768,512,average,baseline,baseline,31.61238180763755,1179648,157664.625,7.482008091542411,3.2076950073242188,14.715194702148438,16.377925872802734,623.1598854064941,1035.4549884796143
10.png,512,768,baseline,baseline,baseline,35.15868401661326,1179648,96477.5,12.227182503692571,1.9628397623697917,9.87100601196289,0.0,493.9391613006592,884.415864944458
10.png,512,768,nearest,baseline,baseline,35.143737612412956,1179648,96561.625,12.216530117425012,1.964551289876302,0.0,0.0,503.0941963195801,883.2957744598389
10.png,512,768,average,baseline,baseline,35.15868401661326,1179648,96477.5,12.227182503692571,1.9628397623697917,2.155780792236328,16.85333251953125,516.4482593536377,885.2534294128418
11.png,768,512,baseline,baseline,baseline,33.30867698475468,1179648,123314.375,9.566183991120257,2.5088373819986978,11.204004287719727,0.0,551.0725975036621,930.222749710083
11.png,768,512,nearest,baseline,baseline,33.26308828447709,1179648,123548.875,9.548027045976744,2.5136082967122397,0.0,1.9304752349853516,546.5328693389893,899.3644714355469
11.png,768,512,average,baseline,baseline,33.30867698475468,1179648,123314.375,9.566183991120257,2.5088373819986978,4.959821701049805,0.0,533.6065292358398,901.1189937591553
12.png,768,512,baseline,baseline,baseline,35.30016247157838,1179648,91489.25,12.893842719226576,1.8613535563151042,17.973899841308594,0.0,465.64364433288574,834.8579406738281
12.png,768,512,nearest,baseline,baseline,35.24274995122696,1179648,91575.125,12.881751458160718,1.8631006876627605,0.0,0.0,492.5992488861084,834.5108032226562
12.png,768,512,average,baseline,baseline,35.30016247157838,1179648,91489.25,12.893842719226576,1.8613535563151042,0.0,0.0,463.1364345550537,817.1985149383545
13.png,768,512,baseline,baseline,baseline,30.644963391581253,1179648,191288.625,6.166848656055738,3.8917770385742188,7.996082305908203,0.0,678.0972480773926,1072.5891590118408
13.png,768,512,nearest,baseline,baseline,30.633468791921338,1179648,191584.0,6.157340905294806,3.8977864583333335,0.0,0.0,645.899772644043,1037.7416610717773
13.png,768,512,average,baseline,baseline,30.644963391581253,1179648,191288.625,6.166848656055738,3.8917770385742188,0.0,0.0,661.0338687896729,1048.6946105957031
