image,width,height,downsample_method,upsample_method,entropy_method,psnr,original_bytes,compressed_bytes,compression_ratio,bpp,time_downsample_ms,time_upsample_ms,time_encoding_ms,total_time_ms
1.png,768,512,baseline,baseline,baseline,31.61238180763755,1179648,157664.625,7.482008091542411,3.2076950073242188,9.959697723388672,0.0,589.4060134887695,966.3147926330566
1.png,768,512,baseline,bilinear,baseline,31.66446248394706,1179648,157664.625,7.482008091542411,3.2076950073242188,9.703397750854492,26.229381561279297,592.7436351776123,1004.3418407440186
1.png,768,512,baseline,bicubic,baseline,31.625876758054943,1179648,157664.625,7.482008091542411,3.2076950073242188,4.060983657836914,15.937566757202148,608.5174083709717,961.6794586181641
10.png,512,768,baseline,baseline,baseline,35.15868401661326,1179648,96477.5,12.227182503692571,1.9628397623697917,8.968591690063477,0.0,491.5757179260254,855.1325798034668
10.png,512,768,baseline,bilinear,baseline,35.261254975398614,1179648,96477.5,12.227182503692571,1.9628397623697917,1.978158950805664,31.787395477294922,482.9723834991455,892.7645683288574
10.png,512,768,baseline,bicubic,baseline,35.18228986373961,1179648,96477.5,12.227182503692571,1.9628397623697917,12.42685317993164,10.909318923950195,491.90521240234375,950.4520893096924
11.png,768,512,baseline,baseline,baseline,33.30867698475468,1179648,123314.375,9.566183991120257,2.5088373819986978,12.448549270629883,0.0,527.5192260742188,912.7066135406494
11.png,768,512,baseline,bilinear,baseline,33.38644659611918,1179648,123314.375,9.566183991120257,2.5088373819986978,7.999897003173828,50.347089767456055,534.259557723999,951.0557651519775
11.png,768,512,baseline,bicubic,baseline,33.31819265129997,1179648,123314.375,9.566183991120257,2.5088373819986978,3.0121803283691406,16.837358474731445,549.8249530792236,934.0059757232666
12.png,768,512,baseline,baseline,baseline,35.30016247157838,1179648,91489.25,12.893842719226576,1.8613535563151042,15.877485275268555,0.0,485.0480556488037,850.7535457611084
12.png,768,512,baseline,bilinear,baseline,35.40073787390217,1179648,91489.25,12.893842719226576,1.8613535563151042,0.0,33.61248970031738,523.2510566711426,1050.9085655212402
12.png,768,512,baseline,bicubic,baseline,35.325351574501646,1179648,91489.25,12.893842719226576,1.8613535563151042,8.31913948059082,4.238128662109375,494.3830966949463,884.0603828430176
13.png,768,512,baseline,baseline,baseline,30.644963391581253,1179648,191288.625,6.166848656055738,3.8917770385742188,17.043113708496094,15.315532684326172,870.5463409423828,1318.0525302886963
13.png,768,512,baseline,bilinear,baseline,30.668554988043898,1179648,191288.625,6.166848656055738,3.8917770385742188,13.616561889648438,33.376455307006836,631.1893463134766,1117.8336143493652
13.png,768,512,baseline,bicubic,baseline,30.649913133602183,1179648,191288.625,6.166848656055738,3.8917770385742188,13.874292373657227,17.02141761779785,681.814432144165,1084.4988822937012
14.png,768,512,baseline,baseline,baseline,32.392247439743215,1179648,150648.75,7.830453289522814,3.0649566650390625,8.991241455078125,0.0,598.9367961883545,967.7038192749023
14.png,768,512,baseline,bilinear,baseline,32.493965131200106,1179648,150648.75,7.830453289522814,3.0649566650390625,5.2165985107421875,33.55836868286133,594.9375629425049,1034.470796585083
14.png,768,512,baseline,bicubic,baseline,32.42052118234068,1179648,150648.75,7.830453289522814,3.0649566650390625,10.933160781860352,0.0,576.0746002197266,1000.9963512420654
15.png,768,512,baseline,baseline,baseline,34.43991995395502,1179648,94976.75,12.420387094736343,1.9323069254557292,13.778448104858398,0.0,495.3920841217041,900.8939266204834
15.png,768,512,baseline,bilinear,baseline,34.575861185589275,1179648,94976.75,12.420387094736343,1.9323069254557292,8.99958610534668,50.01950263977051,478.73592376708984,884.2589855194092
15.png,768,512,baseline,bicubic,baseline,34.469809630375956,1179648,94976.75,12.420387094736343,1.9323069254557292,9.044408798217773,16.788482666015625,482.30624198913574,866.3320541381836
16.png,768,512,baseline,baseline,baseline,34.326754815985524,1179648,107055.375,11.019045050283557,2.1780471801757812,9.110212326049805,16.736745834350586,504.1484832763672,896.8026638031006
